,mean_fit_time,mean_score_time,mean_test_score,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
0,1378.349082,27.08430608,-2.285597668,32,21,2,39,500,"{'max_depth': 32, 'max_features': 21, 'min_samples_leaf': 2, 'min_samples_split': 39, 'n_estimators': 500}",1,-2.287852172,-2.285650335,-2.283290264,2.166328041,0.080219027,0.001862767
1,456.7837315,13.33506767,-2.293045328,31,14,16,43,250,"{'max_depth': 31, 'max_features': 14, 'min_samples_leaf': 16, 'min_samples_split': 43, 'n_estimators': 250}",1,-2.295716211,-2.291291626,-2.292127943,1.446835819,0.163124298,0.001919289
2,552.720131,27.23322201,-2.544352869,3,18,40,35,750,"{'max_depth': 3, 'max_features': 18, 'min_samples_leaf': 40, 'min_samples_split': 35, 'n_estimators': 750}",1,-2.544401821,-2.544296578,-2.544360205,1.335791839,0.099466553,4.33E-05
3,109.0197327,10.25002948,-2.436228368,7,3,3,29,250,"{'max_depth': 7, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 29, 'n_estimators': 250}",1,-2.436601532,-2.436494946,-2.435588577,0.277921301,0.041665543,0.000454472
4,406.0920976,13.89923986,-2.285832432,22,12,15,15,250,"{'max_depth': 22, 'max_features': 12, 'min_samples_leaf': 15, 'min_samples_split': 15, 'n_estimators': 250}",1,-2.286780927,-2.286657965,-2.284058273,0.607282516,0.034402076,0.001255479
5,278.9127754,11.57031997,-2.294021007,14,9,36,36,250,"{'max_depth': 14, 'max_features': 9, 'min_samples_leaf': 36, 'min_samples_split': 36, 'n_estimators': 250}",1,-2.294137583,-2.294569417,-2.293355987,0.715681412,0.077264934,0.000502186
6,538.4357104,28.758593,-2.275721679,21,6,43,40,600,"{'max_depth': 21, 'max_features': 6, 'min_samples_leaf': 43, 'min_samples_split': 40, 'n_estimators': 600}",1,-2.275776645,-2.275558036,-2.275830357,0.793113641,0.031499262,0.000117772
7,256.669188,9.303422928,-2.518316016,4,21,6,8,250,"{'max_depth': 4, 'max_features': 21, 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 250}",1,-2.518307534,-2.519048259,-2.517592224,0.78580034,0.088090449,0.000594446
8,884.0861178,25.92093635,-2.296023612,14,13,42,35,600,"{'max_depth': 14, 'max_features': 13, 'min_samples_leaf': 42, 'min_samples_split': 35, 'n_estimators': 600}",1,-2.295959461,-2.296602521,-2.295508836,1.901014602,0.092336205,0.000448788
9,415.9327207,27.98753897,-2.279439984,20,4,46,18,600,"{'max_depth': 20, 'max_features': 4, 'min_samples_leaf': 46, 'min_samples_split': 18, 'n_estimators': 600}",1,-2.279998135,-2.279454885,-2.278866872,1.37113488,0.118142634,0.000461957
10,974.8750088,23.42957242,-2.285244528,18,17,44,12,500,"{'max_depth': 18, 'max_features': 17, 'min_samples_leaf': 44, 'min_samples_split': 12, 'n_estimators': 500}",1,-2.285880799,-2.28557852,-2.284274187,0.474149216,0.091953179,0.00069712
11,1059.852691,21.87570477,-2.315178259,13,21,45,48,500,"{'max_depth': 13, 'max_features': 21, 'min_samples_leaf': 45, 'min_samples_split': 48, 'n_estimators': 500}",1,-2.315142032,-2.316014598,-2.314378116,0.681962639,0.119984148,0.000668573
12,554.7180278,13.44798255,-2.27982839,18,18,10,10,250,"{'max_depth': 18, 'max_features': 18, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250}",1,-2.279038867,-2.282477738,-2.277968537,0.528453828,0.037855644,0.001923648
13,1636.061309,33.23257828,-2.287998271,14,20,2,2,750,"{'max_depth': 14, 'max_features': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 750}",1,-2.288111878,-2.289520732,-2.286362129,3.448630039,0.236637043,0.001291977
