,mean_fit_time,mean_score_time,mean_test_score,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_delta_step,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
0,1219.916586,193.8930357,-2.747396663,0.705618543,0.071035214,1.90E-06,0.019556305,10,45,0,63,2.04E-05,0.129732854,0.000556883,0.965307787,"{'colsample_bylevel': 0.7056185425199154, 'colsample_bytree': 0.07103521449608101, 'gamma': 1.8992018546362966e-06, 'learning_rate': 0.01955630450001451, 'max_delta_step': 10, 'max_depth': 45, 'min_child_weight': 0, 'n_estimators': 63, 'reg_alpha': 2.0446039637226942e-05, 'reg_lambda': 0.12973285423645403, 'scale_pos_weight': 0.0005568830563403315, 'subsample': 0.9653077872655581}",1,-2.745337635,-2.749155719,-2.747696774,67.78950509,4.89636007,0.001573123
1,893.3612622,74.80481569,-2.387759639,0.686721865,0.34126048,1.80E-09,0.074054254,8,38,0,68,0.052123189,232.7006113,33.39025242,0.377261961,"{'colsample_bylevel': 0.6867218654755486, 'colsample_bytree': 0.3412604797490719, 'gamma': 1.8023871181327715e-09, 'learning_rate': 0.07405425417827127, 'max_delta_step': 8, 'max_depth': 38, 'min_child_weight': 0, 'n_estimators': 68, 'reg_alpha': 0.05212318854833209, 'reg_lambda': 232.70061131141094, 'scale_pos_weight': 33.390252422940854, 'subsample': 0.3772619608161306}",1,-2.388536716,-2.388864412,-2.385877664,4.893498314,0.66743732,0.001337417
2,395.8805301,79.48229845,-2.533848288,0.832095022,0.02331456,0.004978032,0.03632797,9,35,3,68,0.673579745,8.04E-05,336.9727673,0.59998128,"{'colsample_bylevel': 0.832095022085215, 'colsample_bytree': 0.023314560004038847, 'gamma': 0.004978031904676388, 'learning_rate': 0.0363279695074096, 'max_delta_step': 9, 'max_depth': 35, 'min_child_weight': 3, 'n_estimators': 68, 'reg_alpha': 0.6735797448070991, 'reg_lambda': 8.03536063902359e-05, 'scale_pos_weight': 336.9727672841232, 'subsample': 0.599981280246883}",1,-2.532881623,-2.536167304,-2.532495941,0.819081194,0.11346915,0.001647326
3,2235.366648,321.1299078,-2.244614336,0.706405641,0.417457266,1.13E-08,0.063669957,8,44,5,81,5.55E-05,0.059286062,0.085016573,0.552083276,"{'colsample_bylevel': 0.7064056414363574, 'colsample_bytree': 0.4174572655093935, 'gamma': 1.1268483194913195e-08, 'learning_rate': 0.06366995699596882, 'max_delta_step': 8, 'max_depth': 44, 'min_child_weight': 5, 'n_estimators': 81, 'reg_alpha': 5.5514820852863855e-05, 'reg_lambda': 0.059286062345985664, 'scale_pos_weight': 0.08501657318323483, 'subsample': 0.5520832763658757}",1,-2.246586489,-2.243503576,-2.243752786,12.5064404,3.791721813,0.001398286
4,1708.396863,244.0777275,-2.271325148,0.878908281,0.365916888,1.68E-09,0.138566904,9,23,4,75,0.077417696,1.77E-05,0.067909515,0.418846004,"{'colsample_bylevel': 0.8789082806014207, 'colsample_bytree': 0.36591688835830133, 'gamma': 1.67665900058721e-09, 'learning_rate': 0.1385669035760294, 'max_delta_step': 9, 'max_depth': 23, 'min_child_weight': 4, 'n_estimators': 75, 'reg_alpha': 0.07741769580886979, 'reg_lambda': 1.773297359683411e-05, 'scale_pos_weight': 0.06790951520498989, 'subsample': 0.41884600419507806}",1,-2.271537029,-2.270415833,-2.272022598,6.166422522,1.943329189,0.000672844
5,134.9810047,10.16255856,-2.795516835,0.967890138,0.437144192,0.00015872,0.024890808,13,1,3,65,0.002806526,0.000400477,0.077083056,0.637688712,"{'colsample_bylevel': 0.9678901384640584, 'colsample_bytree': 0.4371441916994535, 'gamma': 0.00015871959913138373, 'learning_rate': 0.024890807719120164, 'max_delta_step': 13, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 65, 'reg_alpha': 0.00280652598578241, 'reg_lambda': 0.0004004770358780221, 'scale_pos_weight': 0.0770830560521126, 'subsample': 0.6376887119767712}",1,-2.795311324,-2.796945238,-2.794293906,0.151862236,0.014003803,0.0010921
6,489.9318376,112.6906033,-2.377624715,0.653220749,0.105751849,0.000171776,0.057290082,4,41,3,73,0.097733303,1.51E-09,5.406121162,0.952614582,"{'colsample_bylevel': 0.6532207489216618, 'colsample_bytree': 0.10575184942044015, 'gamma': 0.0001717764390722999, 'learning_rate': 0.057290081534939315, 'max_delta_step': 4, 'max_depth': 41, 'min_child_weight': 3, 'n_estimators': 73, 'reg_alpha': 0.09773330291734499, 'reg_lambda': 1.507457981065939e-09, 'scale_pos_weight': 5.406121162360063, 'subsample': 0.9526145818030874}",1,-2.380198847,-2.372292118,-2.380383135,5.294122934,0.619313608,0.003771447
7,133.0493242,12.54350964,-2.408489637,0.322983998,0.74149062,0.015029751,0.123558765,13,3,2,50,1.53E-08,0.007763156,17.34155114,0.041949536,"{'colsample_bylevel': 0.32298399845559495, 'colsample_bytree': 0.7414906196375007, 'gamma': 0.015029751458901291, 'learning_rate': 0.12355876464076353, 'max_delta_step': 13, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 50, 'reg_alpha': 1.525953142869282e-08, 'reg_lambda': 0.007763155936932799, 'scale_pos_weight': 17.341551141136463, 'subsample': 0.04194953610571696}",1,-2.409660364,-2.409744763,-2.406063613,0.460890848,0.147900766,0.001715743
8,1833.691516,420.8746926,-2.644182567,0.452949713,0.523366233,0.034313442,0.229128991,8,24,2,96,9.94E-07,1.53E-05,0.000216704,0.603718401,"{'colsample_bylevel': 0.4529497132993203, 'colsample_bytree': 0.5233662329969058, 'gamma': 0.03431344193351762, 'learning_rate': 0.22912899063527542, 'max_delta_step': 8, 'max_depth': 24, 'min_child_weight': 2, 'n_estimators': 96, 'reg_alpha': 9.942280794488633e-07, 'reg_lambda': 1.534293989010288e-05, 'scale_pos_weight': 0.00021670389597082642, 'subsample': 0.6037184010723062}",1,-2.646283402,-2.640617397,-2.645646832,4.864085771,2.222346949,0.002534303
9,699.5817522,193.3211078,-2.297294154,0.125312985,0.676691384,0.000277517,0.303942685,17,18,4,96,0.406599915,0.109132291,2.71E-06,0.604985335,"{'colsample_bylevel': 0.1253129846023188, 'colsample_bytree': 0.6766913844648187, 'gamma': 0.0002775173143273028, 'learning_rate': 0.3039426848104651, 'max_delta_step': 17, 'max_depth': 18, 'min_child_weight': 4, 'n_estimators': 96, 'reg_alpha': 0.406599914723939, 'reg_lambda': 0.10913229074462051, 'scale_pos_weight': 2.7114000768609292e-06, 'subsample': 0.6049853353039746}",1,-2.293736347,-2.297717574,-2.300428887,1.075284837,0.549714015,0.002748578
